temperature_c,sulfur_ppm,furnace_duty_mj_h,hx_area_m2
320,1.4740353536727109,168.39543654864664,93.07413032893446
325,1.4740353536727109,168.89649188889763,94.71922416444535
330,1.4740353536727109,169.3975472291486,96.35944481767412
335,1.4740353536727109,169.89860256939923,97.9948210745572
340,1.4740353536727109,170.39965790965022,99.62538146672347
345,1.4740353536727109,170.9007132499012,101.25115427448172
350,1.4740353536727109,171.40176859015222,102.8721675297629
355,1.4740353536727109,171.9028239304032,104.48844901902056
360,1.4740353536727109,172.4038792706538,106.10002628608883
365,1.4740353536727109,172.90493461090517,107.70692663499815
370,1.4740353536727109,173.40598995115576,109.30917713275251
